ugel;distrito;provincia;departamento;Nivel/ Modalidad;nª _II.EE;total_alumnos;cant_alumn_hombres;cant_alumn_mujeres;num_secciones;num_docentes;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;31581;1;15;5;10;1;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;31613;1;8;5;3;2;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;31615;1;6;4;2;2;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;31616;1;11;7;4;1;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;31695;1;14;11;3;1;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;31697;1;11;4;7;1;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;31806;1;0;0;0;0;0;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;31815;1;10;6;4;2;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;31853;1;0;0;0;0;0;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;31992;1;11;5;6;1;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;332 DOMINGO SAVIO;1;246;135;111;10;9;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;339 ESTELITA;1;115;65;50;5;5;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;340;1;26;11;15;1;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;349;1;144;76;68;7;7;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;350;1;51;30;21;3;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;440;1;42;25;17;2;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;659;1;72;28;44;3;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;762;1;72;31;41;4;4;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;763;1;16;9;7;1;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;903;1;47;30;17;3;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;904;1;22;10;12;1;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;905;1;21;11;10;2;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;907;1;34;19;15;2;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;910;1;44;27;17;3;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;937;1;12;4;8;1;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;ADVENTISTA FERNANDO STAHL;1;18;8;10;2;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;AL AZHAR DE EL CAIRO;1;6;3;3;1;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;EBEN EZER;1;9;4;5;1;2;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;FRANKLIN DELANO ROOSEVELT;1;21;11;10;2;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;HUELLITAS DE JESUS;1;5;3;2;1;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;IBEROAMERICA;1;16;7;9;5;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;JESUS EDUCADOR;1;31;14;17;3;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;JESUS REDENTOR DE BELEN;1;6;4;2;2;2;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;JORGE BASADRE;1;19;7;12;1;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;JOSE MARIATEGUI LA CHIRA;1;34;19;15;2;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;JOSE OLAYA;1;20;11;9;2;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;JUAN XXIII;1;67;37;30;5;5;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;LUZ Y SABER;1;20;10;10;2;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;MERATSE;1;20;8;12;2;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;MUNDO MONTESSORI;1;53;27;26;3;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;NUEVA ESPERANZA;1;57;32;25;3;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;PACIFICO KIDS;1;46;21;25;3;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;PUCHARINI;1;75;42;33;3;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;PUENTE HERRERIA;1;20;6;14;2;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;SAN CARLOS;1;50;21;29;3;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;SAN JUAN BOSCO;1;10;6;4;1;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;SAN JUAN PERENE;1;15;8;7;1;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;SAN RAMON;1;113;61;52;5;5;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;SANTA ROSA;1;63;33;30;3;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;SANTA ROSA DE TOTERANI;1;10;7;3;1;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;SANTO CRISTO;1;44;26;18;3;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;SEÑOR DE LA MISERICORDIA;1;28;18;10;4;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;SUEÑO BONITO;1;17;4;13;1;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;UCHUBAMBA;1;23;13;10;2;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;Inicial - Programa no escolarizado;80;808;430;378;0;161;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;ABEJITAS;1;10;6;4;0;3;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;AMIGUITOS DE JESUS;1;11;7;4;0;1;
UGEL CHANCHAMAYO;CHANCHAMAYO;CHANCHAMAYO;JUNIN;ANGELITOS;1;13;9;4;0;1;
